Index,Prefix,Department ID,Department,Description of Asset,Asset Number,SAP No.,Type,Manufacturer/Supplier,Model,Mfg SN,Mfg Year,Est Value,Maintenance Frequency,Functional Location,Functional Loc. Description,Assign Project,Floor,Prod. Line,Start Date,Due Date,Day Left,Status,Remark
154,DSDJA,88-15ME-DSDJA-008,,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,I06857,,MACHINE,EVOLUTION MARKETING,SC360II-D,BD0221040210,2021.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
155,DSDJA,88-15ME-DSDJA-009,,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,I07676,,MACHINE,EVOLUTION MARKETING,SC360II-D,BD0221080780,2022.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
156,DSDJA,88-15ME-DSDJA-010,,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,I07356,,MACHINE,EVOLUTION MARKETING,SC360II-D,BD0221080412,2021.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
157,DSDJA,88-15ME-DSDJA-011,,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,I07359,,MACHINE,EVOLUTION MARKETING,SC360II-D,BD0221080413,2021.0,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,AIPER,F2_LINE,,,,,NG,PLC
158,DSDJA,88-15ME-DSDJA-012,,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,I07678,,MACHINE,EVOLUTION MARKETING,SC360II-D,BD0221120783,2022.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
159,DSDJA,88-15ME-DSDJA-013,,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,I06859,,MACHINE,EVOLUTION MARKETING,SC360II-D,BD0221040208,2021.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
160,DSDJA,88-15ME-DSDJA-014,,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,I07357,,MACHINE,EVOLUTION MARKETING,SC360II-D,BD0221080415,2022.0,,,1006-10PE,ASSEMBLY (PRODUCTION),,,,,,,Good,
161,DSDJA,88-15ME-DSDJA-015,,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,I07677,,MACHINE,EVOLUTION MARKETING,SC360II-D,BD0221120779,2022.0,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,NG,NO PLC
162,WDF011,88-15ME-WDF011-001,,DRAIN OIL SEAL PRESS FIXTURE,,,FIXTURE,,VS-WDF011,WDF20251129-011-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
163,WDF012,88-15ME-WDF012-001,,DRAIN SHAFT SLEEVE PRESS FIXTURE (N30D-N31D),,,FIXTURE,,VS-WDF012,WDF20251129-012-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
164,WDF001,88-15ME-WDF001-001,,DRAIN SHAFT SLEEVE PRESS FIXTURE (N30L),,,FIXTURE,,VS-WDF001,WDF20251129-001-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
165,WDF016,88-15ME-WDF016-001,,DRAINAGE MOTOR SCREW FIXTURE N30D/N31D,,,FIXTURE,,VS-WDF016,WDF20251129-016-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
166,WDF017,88-15ME-WDF017-001,,DRAINAGE MOTOR SCREW FIXTURE N31L,,,FIXTURE,,VS-WDF017,WDF20251129-017-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
167,WDF035,88-15ME-WDF035-001,,FACE SHELL SCREW FIXTURE,,,JIG,,VS-WDF035,WDF20251129-035-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
168,WDF035,88-15ME-WDF035-002,,FACE SHELL SCREW FIXTURE,,,JIG,,VS-WDF035,WDF20251129-035-002,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
169,AIPT,88-15ME-AIPT-002,,E1-G FLOW DETECTION TESTER,18200359,1000007873.0,TESTER,,,,2026.0,,MONTHLY,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,2026-02-16,2026-03-18,30.0,Good,
170,WDF036,88-15ME-WDF036-001,,FRONT SHELL SCREW FIXTURE,,,JIG,,VS-WDF036,WDF20251129-036-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
171,AIPT,88-15ME-AIPT-003,,FUNCTIONAL TESTER - MOTOR ASSEMBLY TESTER,14501367,,TESTER,,,,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
172,AIPT,88-15ME-AIPT-004,,FUNCTIONAL TESTER - MOTOR ASSEMBLY TESTER,14501367,,TESTER,,,,,,,,,,,,,,,Idle,
173,WDF004,88-15ME-WDF004-001,,GARBAGE BASKET HANDLE SCREW FIXTURE,,,JIG,,VS-WDF004,WDF20251129-004-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
174,WDF033,88-15ME-WDF033-001,,GARBAGE BASKET HANDLE SCREW FIXTURE,,,JIG,,VS-WDF033,WDF20251129-033-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
175,GAPAP,88-15ME-GAPAP-001,,GKG AUTOMATION PICK AND PLACEMENT MACHINE,I07898,,MACHINE,JTU PTE LTD,,,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,
176,GAPAP,88-15ME-GAPAP-002,,GKG AUTOMATION PICK AND PLACEMENT MACHINE,I07898,,MACHINE,JTU PTE LTD,,,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,
177,GAPAP,88-15ME-GAPAP-003,,GKG AUTOMATION PICK AND PLACEMENT MACHINE,I07898,,MACHINE,JTU PTE LTD,,,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,
178,GAPAP,88-15ME-GAPAP-004,,GKG AUTOMATION PICK AND PLACEMENT MACHINE,I07898,,MACHINE,JTU PTE LTD,,,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,
179,GAPAP,88-15ME-GAPAP-005,,GKG AUTOMATION PICK AND PLACEMENT MACHINE,I07898,,MACHINE,JTU PTE LTD,,,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,
180,GAPAP,88-15ME-GAPAP-006,,GKG AUTOMATION PICK AND PLACEMENT MACHINE,I07898,,MACHINE,JTU PTE LTD,,,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,
181,HKS,88-15ME-HKS-011,,HAKKO SOLDERING STATION,,,EQUIPMENT,HAKKO,FX951,,,,,,,,,,,,,Idle,
182,WDF034,88-15ME-WDF034-001,,HANDLE COVER SCREW FIXTURE,,,JIG,,VS-WDF034,WDF20251129-034-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
183,WDF007,88-15ME-WDF007-001,,HANDLE SCREW FIXTURE,,,JIG,,VS-WDF007,WDF20251129-007-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
184,HETS1,88-15ME-HETS1-001,,HIOS ELECTRIC TORK SCREWDRIVER 1~5.5KGF.CM,,,EQUIPMENT,HIOS,BLG-4000,52100456BK,2021.0,,,,,,,,,,,Idle,
185,HETS1,88-15ME-HETS1-002,,HIOS ELECTRIC TORK SCREWDRIVER 1~5.5KGF.CM,,,EQUIPMENT,HIOS,BLG-4000,,,,,,,,,,,,,Idle,
186,HETS1,88-15ME-HETS1-003,,HIOS ELECTRIC TORK SCREWDRIVER 1~5.5KGF.CM,,,EQUIPMENT,HIOS,BLG-4000,,,,,,,,,,,,,Idle,
187,HETS1,88-15ME-HETS1-004,,HIOS ELECTRIC TORK SCREWDRIVER 1~5.5KGF.CM,,,EQUIPMENT,HIOS,BLG-4000,,,,,,,,,,,,,Idle,
188,HETS1,88-15ME-HETS1-005,,HIOS ELECTRIC TORK SCREWDRIVER 1~5.5KGF.CM,,,EQUIPMENT,HIOS,BLG-4000,,,,,,,,,,,,,Idle,
189,HETS1,88-15ME-HETS1-006,,HIOS ELECTRIC TORK SCREWDRIVER 1~5.5KGF.CM,,,EQUIPMENT,HIOS,BLG-4000,,,,,,,,,,,,,Idle,
190,HETS1,88-15ME-HETS1-007,,HIOS ELECTRIC TORK SCREWDRIVER 1~5.5KGF.CM,,,EQUIPMENT,HIOS,BLG-4000,,,,,,,,,,,,,Idle,
191,HETS1,88-15ME-HETS1-008,,HIOS ELECTRIC TORK SCREWDRIVER 1~5.5KGF.CM,,,EQUIPMENT,HIOS,BLG-4000,,,,,,,,,,,,,Idle,
192,HETS1,88-15ME-HETS1-009,,HIOS ELECTRIC TORK SCREWDRIVER 1~5.5KGF.CM,,,EQUIPMENT,HIOS,BLG-4000,,,,,,,,,,,,,Idle,
193,HETS1,88-15ME-HETS1-010,,HIOS ELECTRIC TORK SCREWDRIVER 1~5.5KGF.CM,,,EQUIPMENT,HIOS,BLG-4000,,,,,,,,,,,,,Idle,
194,HETS1,88-15ME-HETS1-011,,HIOS ELECTRIC TORK SCREWDRIVER 1~5.5KGF.CM,,,EQUIPMENT,HIOS,BLG-4000,,,,,,,,,,,,,Idle,
195,HETS1,88-15ME-HETS1-012,,HIOS ELECTRIC TORK SCREWDRIVER 1~5.5KGF.CM,,,EQUIPMENT,HIOS,BLG-4000,,,,,,,,,,,,,Idle,
196,HETS1,88-15ME-HETS1-013,,HIOS ELECTRIC TORK SCREWDRIVER 1~5.5KGF.CM,,,EQUIPMENT,HIOS,BLG-4000,,,,,,,,,,,,,Idle,
197,HETS1,88-15ME-HETS1-014,,HIOS ELECTRIC TORK SCREWDRIVER 1~5.5KGF.CM,,,EQUIPMENT,HIOS,BLG-4000,,,,,,,,,,,,,Idle,
198,HETS1,88-15ME-HETS1-015,,HIOS ELECTRIC TORK SCREWDRIVER 1~5.5KGF.CM,,,EQUIPMENT,HIOS,BLG-4000,,,,,,,,,,,,,Idle,
199,HETS1,88-15ME-HETS1-016,,HIOS ELECTRIC TORK SCREWDRIVER 1~5.5KGF.CM,,,EQUIPMENT,HIOS,BLG-4000,,,,,,,,,,,,,Idle,
200,HETS2,88-15ME-HETS2-001,,HIOS ELECTRIC TORK SCREWDRIVER 2~12KGF.CM,,,EQUIPMENT,HIOS,BLG-5000,Z2105629BU,2021.0,,,,,,,,,,,Idle,
201,HETS2,88-15ME-HETS2-002,,HIOS ELECTRIC TORK SCREWDRIVER 2~12KGF.CM,,,EQUIPMENT,HIOS,BLG-5000,,2021.0,,,,,,,,,,,Idle,
202,HETS2,88-15ME-HETS2-003,,HIOS ELECTRIC TORK SCREWDRIVER 2~12KGF.CM,,,EQUIPMENT,HIOS,BLG-5000,,2021.0,,,,,,,,,,,Idle,
203,HETS2,88-15ME-HETS2-004,,HIOS ELECTRIC TORK SCREWDRIVER 2~12KGF.CM,,,EQUIPMENT,HIOS,BLG-5000,,2021.0,,,,,,,,,,,Idle,
204,HETS2,88-15ME-HETS2-005,,HIOS ELECTRIC TORK SCREWDRIVER 2~12KGF.CM,,,EQUIPMENT,HIOS,BLG-5000,,2021.0,,,,,,,,,,,Idle,
205,HETS2,88-15ME-HETS2-006,,HIOS ELECTRIC TORK SCREWDRIVER 2~12KGF.CM,,,EQUIPMENT,HIOS,BLG-5000,,2021.0,,,,,,,,,,,Idle,
206,HETS2,88-15ME-HETS2-007,,HIOS ELECTRIC TORK SCREWDRIVER 2~12KGF.CM,,,EQUIPMENT,HIOS,BLG-5000,,2021.0,,,,,,,,,,,Idle,
207,HETS2,88-15ME-HETS2-008,,HIOS ELECTRIC TORK SCREWDRIVER 2~12KGF.CM,,,EQUIPMENT,HIOS,BLG-5000,,2021.0,,,,,,,,,,,Idle,
208,HETS2,88-15ME-HETS2-009,,HIOS ELECTRIC TORK SCREWDRIVER 2~12KGF.CM,,,EQUIPMENT,HIOS,BLG-5000,,2021.0,,,,,,,,,,,Idle,
209,HETS2,88-15ME-HETS2-010,,HIOS ELECTRIC TORK SCREWDRIVER 2~12KGF.CM,,,EQUIPMENT,HIOS,BLG-5000,,2021.0,,,,,,,,,,,Idle,
210,HETS2,88-15ME-HETS2-011,,HIOS ELECTRIC TORK SCREWDRIVER 2~12KGF.CM,,,EQUIPMENT,HIOS,BLG-5000,,2021.0,,,,,,,,,,,Idle,
211,HETS2,88-15ME-HETS2-012,,HIOS ELECTRIC TORK SCREWDRIVER 2~12KGF.CM,,,EQUIPMENT,HIOS,BLG-5000,,2021.0,,,,,,,,,,,Idle,
212,HETS2,88-15ME-HETS2-013,,HIOS ELECTRIC TORK SCREWDRIVER 2~12KGF.CM,,,EQUIPMENT,HIOS,BLG-5000,,2021.0,,,,,,,,,,,Idle,
213,HETS2,88-15ME-HETS2-014,,HIOS ELECTRIC TORK SCREWDRIVER 2~12KGF.CM,,,EQUIPMENT,HIOS,BLG-5000,,2021.0,,,,,,,,,,,Idle,
214,HETS2,88-15ME-HETS2-015,,HIOS ELECTRIC TORK SCREWDRIVER 2~12KGF.CM,,,EQUIPMENT,HIOS,BLG-5000,,2021.0,,,,,,,,,,,Idle,
215,HETS2,88-15ME-HETS2-016,,HIOS ELECTRIC TORK SCREWDRIVER 2~12KGF.CM,,,EQUIPMENT,HIOS,BLG-5000,,2021.0,,,,,,,,,,,Idle,
216,WDF037/005,88-15ME-WDF037/005-001,,KEY HOT MELT FIXTURE,,,FIXTURE,,,,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
217,WDF037,88-15ME-WDF037-001,,KEY HOT MELT FIXTURE (N30D-N31D),,,JIG,,VS-WDF037,WDF20251129-037-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
218,WDF005,88-15ME-WDF005-001,,KEY HOT MELT FIXTURE (N30L),,,JIG,,VS-WDF005,WDF20251129-005-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
219,KETS0,88-15ME-KETS0-001,,KILEWS ELECTRIC TORK SCREWDRIVER 0.5~7KGF.CM,,,EQUIPMENT,KILEWS,SKD-BN207L,C03P 03645,2021.0,,,,,,,,,,,Idle,
220,KETS0,88-15ME-KETS0-002,,KILEWS ELECTRIC TORK SCREWDRIVER 0.5~7KGF.CM,,,EQUIPMENT,KILEWS,SKD-BN207L,C03P 03110,2021.0,,,,,,,,,,,Idle,
221,KETS0,88-15ME-KETS0-003,,KILEWS ELECTRIC TORK SCREWDRIVER 0.5~7KGF.CM,,,EQUIPMENT,KILEWS,SKD-BN207L,C03P 03111,2021.0,,,,,,,,,,,Idle,
222,KETS0,88-15ME-KETS0-004,,KILEWS ELECTRIC TORK SCREWDRIVER 0.5~7KGF.CM,,,EQUIPMENT,KILEWS,SKD-BN207L,C03P 03666,2021.0,,,,,,,,,,,Idle,
223,KETS0,88-15ME-KETS0-005,,KILEWS ELECTRIC TORK SCREWDRIVER 0.5~7KGF.CM,,,EQUIPMENT,KILEWS,SKD-BN207L,C03P 03108,2021.0,,,,,,,,,,,Idle,
224,KETS0,88-15ME-KETS0-006,,KILEWS ELECTRIC TORK SCREWDRIVER 0.5~7KGF.CM,,,EQUIPMENT,KILEWS,SKD-BN207L,C03P 03425,2021.0,,,,,,,,,,,Idle,
225,KETS0,88-15ME-KETS0-007,,KILEWS ELECTRIC TORK SCREWDRIVER 0.5~7KGF.CM,,,EQUIPMENT,KILEWS,SKD-BN207L,C03P 03651,2021.0,,,,,,,,,,,Idle,
226,KETS0,88-15ME-KETS0-008,,KILEWS ELECTRIC TORK SCREWDRIVER 0.5~7KGF.CM,,,EQUIPMENT,KILEWS,SKD-BN207L,C03P 03652,2021.0,,,,,,,,,,,Idle,
227,KETS0,88-15ME-KETS0-009,,KILEWS ELECTRIC TORK SCREWDRIVER 0.5~7KGF.CM,,,EQUIPMENT,KILEWS,SKD-BN207L,C03P 03649,2021.0,,,,,,,,,,,Idle,
228,KETS0,88-15ME-KETS0-010,,KILEWS ELECTRIC TORK SCREWDRIVER 0.5~7KGF.CM,,,EQUIPMENT,KILEWS,SKD-BN207L,C03P 03650,2021.0,,,,,,,,,,,Idle,
